Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 78.89      4.82     4.82                             _mcount_private
 14.57      5.71     0.89                             __fentry__
  0.98      5.77     0.06  6413212     0.00     0.00  __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >::operator+(long) const
  0.98      5.83     0.06        2    30.00   147.82  prim(std::vector<std::vector<edge, std::allocator<edge> >, std::allocator<std::vector<edge, std::allocator<edge> > > >&, int)
  0.65      5.87     0.04  2422062     0.00     0.00  greater_edge<edge>::operator()(edge const&, edge const&) const
  0.65      5.91     0.04        2    20.00    52.18  create(std::vector<point, std::allocator<point> >&)
  0.49      5.94     0.03  2008608     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.33      5.96     0.02  2032660     0.00     0.00  __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >::base() const
  0.33      5.98     0.02  2016610     0.00     0.00  std::vector<std::vector<edge, std::allocator<edge> >, std::allocator<std::vector<edge, std::allocator<edge> > > >::size() const
  0.33      6.00     0.02  2008602     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.33      6.02     0.02  2008602     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.33      6.04     0.02  1016268     0.00     0.00  __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >::difference_type __gnu_cxx::operator-<edge*, std::vector<edge, std::allocator<edge> > >(__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > > const&, __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > > const&)
  0.33      6.06     0.02  1000998     0.00     0.00  std::vector<edge, std::allocator<edge> >::push_back(edge const&)
  0.33      6.08     0.02     2000     0.01     0.01  __gnu_cxx::__enable_if<!std::__is_scalar<edge>::__value, edge*>::__type std::__fill_n_a<edge*, unsigned long, edge>(edge*, unsigned long, edge const&)
  0.16      6.09     0.01 15988000     0.00     0.00  std::vector<point, std::allocator<point> >::operator[](unsigned long)
  0.16      6.10     0.01  8997000     0.00     0.00  std::vector<std::vector<edge, std::allocator<edge> >, std::allocator<std::vector<edge, std::allocator<edge> > > >::operator[](unsigned long)
  0.16      6.11     0.01     2000     0.01     0.01  std::vector<edge, std::allocator<edge> >::operator=(std::vector<edge, std::allocator<edge> > const&)
  0.00      6.11     0.00  9427544     0.00     0.00  __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >::__normal_iterator(edge* const&)
  0.00      6.11     0.00  7438018     0.00     0.00  __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >::operator*() const
  0.00      6.11     0.00  6994998     0.00     0.00  std::vector<edge, std::allocator<edge> >::operator[](unsigned long)
  0.00      6.11     0.00  2270422     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_val<greater_edge<edge> >::operator()<__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, edge>(__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, edge&)
  0.00      6.11     0.00  2008608     0.00     0.00  std::iterator<std::random_access_iterator_tag, bool, long, bool*, bool&>::iterator()
  0.00      6.11     0.00  2008604     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      6.11     0.00  2008602     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      6.11     0.00  2008250     0.00     0.00  std::vector<edge, std::allocator<edge> >::size() const
  0.00      6.11     0.00  2006602     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      6.11     0.00  1007666     0.00     0.00  std::vector<edge, std::allocator<edge> >::end()
  0.00      6.11     0.00  1007666     0.00     0.00  std::vector<edge, std::allocator<edge> >::begin()
  0.00      6.11     0.00  1007602     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_val<greater_edge<edge> >::_Iter_comp_val(greater_edge<edge>)
  0.00      6.11     0.00  1007602     0.00     0.00  void std::__push_heap<__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, long, edge, __gnu_cxx::__ops::_Iter_comp_val<greater_edge<edge> > >(__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, long, long, edge, __gnu_cxx::__ops::_Iter_comp_val<greater_edge<edge> >)
  0.00      6.11     0.00  1002998     0.00     0.00  operator new(unsigned long, void*)
  0.00      6.11     0.00  1000998     0.00     0.00  __gnu_cxx::new_allocator<edge>::construct(edge*, edge const&)
  0.00      6.11     0.00  1000998     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<edge> >::construct<edge>(std::allocator<edge>&, edge*, edge const&)
  0.00      6.11     0.00   999000     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_val<greater_edge<edge> > __gnu_cxx::__ops::__iter_comp_val<greater_edge<edge> >(greater_edge<edge>)
  0.00      6.11     0.00   999000     0.00     0.00  __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >::operator-(long) const
  0.00      6.11     0.00   999000     0.00     0.00  std::priority_queue<edge, std::vector<edge, std::allocator<edge> >, greater_edge<edge> >::push(edge const&)
  0.00      6.11     0.00   999000     0.00     0.00  void std::push_heap<__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, greater_edge<edge> >(__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, greater_edge<edge>)
  0.00      6.11     0.00   151640     0.00     0.00  bool __gnu_cxx::__ops::_Iter_comp_iter<greater_edge<edge> >::operator()<__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > > >(__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >)
  0.00      6.11     0.00    16606     0.00     0.00  __gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >::__normal_iterator(edge const* const&)
  0.00      6.11     0.00    12604     0.00     0.00  std::vector<edge, std::allocator<edge> >::begin() const
  0.00      6.11     0.00    12196     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::_M_get_Tp_allocator()
  0.00      6.11     0.00     8604     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<greater_edge<edge> >::_Iter_comp_iter(greater_edge<edge>)
  0.00      6.11     0.00     8604     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_iter<greater_edge<edge> > __gnu_cxx::__ops::__iter_comp_iter<greater_edge<edge> >(greater_edge<edge>)
  0.00      6.11     0.00     8602     0.00     0.00  __gnu_cxx::new_allocator<edge>::destroy(edge*)
  0.00      6.11     0.00     8602     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<edge> >::destroy(std::allocator<edge>&, edge*)
  0.00      6.11     0.00     8602     0.00     0.00  __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >::operator--()
  0.00      6.11     0.00     8602     0.00     0.00  __gnu_cxx::__ops::_Iter_comp_val<greater_edge<edge> > __gnu_cxx::__ops::__iter_comp_val<greater_edge<edge> >(__gnu_cxx::__ops::_Iter_comp_iter<greater_edge<edge> >)
  0.00      6.11     0.00     8602     0.00     0.00  __gnu_cxx::__normal_iterator<edge const*, std::vector<edge, std::allocator<edge> > >::operator*() const
  0.00      6.11     0.00     8602     0.00     0.00  std::priority_queue<edge, std::vector<edge, std::allocator<edge> >, greater_edge<edge> >::top() const
  0.00      6.11     0.00     8602     0.00     0.00  std::vector<edge, std::allocator<edge> >::front() const
  0.00      6.11     0.00     8602     0.00     0.00  std::priority_queue<edge, std::vector<edge, std::allocator<edge> >, greater_edge<edge> >::pop()
  0.00      6.11     0.00     8602     0.00     0.00  std::vector<edge, std::allocator<edge> >::pop_back()
  0.00      6.11     0.00     8602     0.00     0.00  void std::__pop_heap<__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, __gnu_cxx::__ops::_Iter_comp_iter<greater_edge<edge> > >(__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, __gnu_cxx::__ops::_Iter_comp_iter<greater_edge<edge> >)
